ID,English,Spanish,Catalan,Portuguese,Italian,French,German,Russian,ChineseTraditional,Korean,Japanese
#ACCEPT#,Accept,Aceptar,Acceptar,Aceitar,Accetta,Accepter,Annehmen,Принять,接受,수락,承認する
#CANCEL#,Cancel,Cancelar,Cancel·lar,Cancelar,Cancella,Annuler,Annullieren,Отменить,取消,취소,取り消す
#YES#,Yes,Sí,Sí,Sim,Sì,Oui,Ja,Да,是,네,はい
#NO#,No,No,No,Não,No,Non,Nein,Нет,否,아니요,いいえ
#CLOSE#,Close,Cerrar,Tancar,Fechar,Chiudi,Fermer,Schließen,Закрыть,关闭,닫기,閉じる
#CONTINUE#,Continue,Continuar,Continuar,Continuar,Continua,Continuer,Weiter,Продолжайте,继续,계속,続ける
#MY_SCENARIOS#,My scenarios,Mis escenarios,Els meus escenaris,Os meus cenários,I miei scenari,Mes scènes,Meine Schauplätze,Мои сцены,我的场景,내 화면,私のシナリオ
#SELECT_OBJECT#,Select a kind of object to put in your scene,Selecciona el tipo de objeto para poner en tu escena,Selecciona el tipus d'objecte per ficar dintre la teva escena,Seleciona o tipo de objeto para o colocares na tua cena,Seleziona il tipo di oggetto da inserire nella tua scena,Sélectionne le type d’objet pour le placer sur ta scène,"Wählen Sie die Art von Objekt aus, um es in Ihre Szene zu stellen","Выберите тип объекта, чтобы поместить в вашу сцену",选择放置于你的场景的物件类型,화면에 배치할 사물 종류를 선택하세요. ,シーンに使用する物の種類を選択してください
#NO_IMAGE#,Theres is no image yet.,Pon una imagen de fondo de tu escenario,Posa una imatge de fons del teu escenari,Coloca uma imagem de fundo do teu cenário,Metti un’immagine di sfondo del tuo scenario,Place une image de fond sur ta scène,Erstellen Sie ein Hintergrundbild für Ihren Schauplatz,Поместите фоновое изображение вашей сцены,在你的场景中放置背景影像,장면 배경 화면을 설정하세요. ,シーンの背景になる画像を選んでください
#OPEN#,Open,Abrir,Obrir,Abrir,Apri,Ouvrir,Öffnen,Открыть,开启,열기 ,開く
#EDIT#,Edit,Editar,Editar,Editar,Modifica,Modifier,Bearbeiten,Редактировать,编辑,편집 ,編集する
#DELETE#,Delete,Borrar,Esborrar,Eliminar,Cancella,Effacer,Löschen,Удалить,删除,삭제 ,消去する
#BACK#,Back,Atrás,Enrere,Voltar,Indietro,Précédent,Zurück,Назад,返回,뒤로 ,戻る
#NO_ITEMS#,There is still no catch in your library,Todavía no tienes ninguna captura en tu librería,Encara no tens cap captura a la teva llibreria,Ainda não tens nenhuma captura na tua livraria,Non hai ancora nessuno scatto nella tua libreria,Tu n’as pas encore de capture dans ta bibliothèque,Sie Haben in Ihrer Bibliothek no keine Aufnahme,У вас ещё нет скриншота в библиотеке,你的鱼库里还没有任何的收获,아직 획득물이 없습니다. ,ライブラリにキャプチャーがありません
#NO_COLLECTABLES#,You do not have any collectibles yet!,Todavía no tienes ningún coleccionable,Encara no tens cap col·leccionable,Ainda não tens nenhum colecionável,Non hai ancora nessuna specie da collezione,Tu n’as toujours pas d’objet collectionné,Sie haben noch kein Sammelbild,У вас пока нет предметов коллекционирования,你还没有任何可收集物件,아직 수집물이 없습니다.,収集可能な物がありません
#NEW_SLOT#,Create new scenario,Nuevo escenario,Nou escenari,Novo cenário,Nuovo scenario,Nouvelle scène,Neuer Schauplatz,Новая сцена,新场景,새 장면 ,新しいシナリオ
#WRITE_NAME#,Enter a name four your scenario,Escribe un nombre para tu escenario,Escriu un nom pel teu escenari,Escreve um nome para o teu cenário,Scrivi un nome per il tuo scenario,Écris un nom pour ta scène,Geben Sie einen Namen für Ihren Schauplatz ein,Напишите название для новой сцены,输入你的场景名称,장면 이름 설정 ,シナリオの名前を記入してください
#ENTER_TEXT#,Enter text...,Introduce nombre...,Introdueix nom...,Introduz nome...,Inserisci il nome,Introduis un nom...,Geben Sie den Namen ein...,Введите имя…,输入名称...,이름 입력,名前を記入してください...
#SELECT#,Move / Rotate,Mover / Rotar,Moure / Girar,Mover/Rodar,Muovi / Ruota,Déplacer / Tourner,Bewegn / Drehen,Переместить / Повернуть,移动 / 旋转,움직이기 / 회전하기  ,移動する / 回転する
#SCALE#,Scale,Escalar,Escalar,Escalar,Ridimensiona,Mettre à l’échelle,Zoom,Подниматься,攀爬,올라가기,登る
#DELETE_ITEM#,Delete,Borrar,Esborrar,Eliminar,Cancella,Effacer,Löschen,Удалить,删除,삭제,消去する
#TAKE_PICTURE#,Take picture,Capturar foto,Fer foto,Tirar foto,Scatta la foto,Capturer photo,Foto aufnehmen,Захват фото,拍照,사진캡춰,写真を取り込む
#RENAME#,Rename scenario,Renombrar escenario,Canvia de nom l'escenari.,Renomear cenário,Rinomina scenario,Renommer scène,Schauplatz umbenennen,Переименовать сцену,为场景重新命名,장면 이름 재설정 ,シナリオの名前を変更する
#NEW_OBJECTIVE#,New Objective,Nuevo objetivo,Nou objectiu,Novo objetivo,Nuovo obiettivo,Nouvelle cible,Neues Ziel,Новая цель,新目的,새 목표,新しい目標
#AQUARIUMS#,Aquariums,Acuarios,Aquaris,Aquários,Acquari,Aquariums,Aquarien,Аквариумы,水族馆,아쿠아리움,水族館
#AQUARIUM#,Aquarium,Acuario,Aquari,Aquário,Acquario,Aquarium,Aquarium,Аквариум,水族馆,아쿠아리움,水族館
#CARDS#,Cards,Fichas,Fitxes,Fichas,Schede,Fiches,Karten,Фишки,档案,카드,カード
#OBJECTIVES#,Objectives,Objetivos,Objectius,Objetivos,Obiettivi,Cibles,Ziele,Цели,目的,목표,目標
#WELL_DONE#,Congratulations!,¡Enhorabuena!,Enhorabona!,Parabéns!,Congratulazioni!,Félicitations !,Herzlichen Glückwunsch!,Поздравляем!,恭喜！,축하합니다!,おめでとう!
#OBJECTIVE_SOLVED#,You have obtained a new card for your collection,Has conseguido una nueva ficha para tu colección,Has aconseguit una nova fitxa per la teva col·lecció,Conseguiste uma nova ficha para a tua coleção,Hai ottenuto una nuova scheda da collezionare,Tu as obtenu une nouvelle fiche pour ta collection,Sie haben eine neue Karte für Ihre Sammlung erhalten,Вы приобрели новую фишку для своей коллекции,你得到了新的收集档案,당신의 컬렉션에 카드 한 장을 더 추가하였습니다. ,コレクションの新しいカードを入手しました
#SHOW_CARD#,Show card,Mostar ficha,Obrir fitxa,Mostar ficha,Mostra scheda,Montrer la fiche,Karte zeigen,Покажите фишку,显示档案,카드 보여주기 ,カードを表示する
#SHARE_CARD#,Share,Compartir,Compartir,Partilhar,Condividi,Partager,Teilen,Поделиться,分享,공유,共有する
#REPLACE_PICTURE#,You already have this card in your collection.,Ya tienes esta ficha en tu colección.,Ja tens aquesta fitxa a la teva col·lecció.,Já tens esta ficha na tua coleção.,Questa scheda è già presente nella tua collezione.,Tu as déjà cette fiche dans ta collection.,Diese Karte haben Sie bereits in Ihrer Sammlung.,Вы получили фишку для вашей коллекции,你的收集中已经有这个档案,이미 당신의 컬렉션에 이 카드가 있습니다. ,既にこのカードがコレクションにあります
#CONFIRM_REPLACE#,Do you want to replace the current picture for this new one?,¿Quieres reemplazar la foto por esta nueva?,¿Vols reemplaçar la foto per aquesta que acabes de fer?,Queres substituir a foto por esta nova?,Vuoi sostituire la foto con questa nuova?,Tu veux remplacer la photo par cette nouvelle photo ?,Wollen Sie das Foto durch dieses neue ersetzen?,Хотите заменить фотографию новой?,你想要这一张新照片替代吗？,새 사진으로 교체하겠습니까? ,写真をこの新しい写真に交換しますか?
#COMPARE_PICTURES#,Compare pictures,Comparar fotos,Comparar fotos,Comparar fotos,Confronta foto,Comparer photos,Fotos vergleichen,Сравнить фотографии,比较照片,사진 구매 ,写真を比較する
#CURRENT_PICTURE#,Current picture,Foto actual,Foto actual,Foto atual,Foto attuale,Photo actuelle,Jetziges Foto,Текущее фото,当前照片,현재 사진 ,現在の写真
#NEW_PICTURE#,New picture,Nueva foto,Nova foto,Nova foto,Nuova foto,Nouvelle photo,Neues Foto,Новое фото,新照片,새 사진 ,新しい写真
#REPLACE#,Replace,Reemplazar,Reemplaçar,Substituir,Sostituisci,Remplacer,Ersetzen,Заменить,替代,교체,交換する
#PICTURE_CHANGED#,Your picture has been changed successfully!,¡La foto ha sido reemplazada con éxito!,La foto s'ha reemplaçat amb èxit!,A foto foi substituída com êxito!,La foto è stata sostituita correttamente!,Remplacement de la photo réussi !,Das Foto ist erfolgreich ersetzt worden!,Фотография была успешно заменена,照片已成功更换！,성공적으로 사진을 교체하였습니다. ,写真が交換されました!
#NEXT#,Next,Siguiente,Següent,Seguinte,Successivo,Suivant,Nächstes,Следующий,下一个,다음,次
#PREVIOUS#,Previous,Anterior,Anterior,Anterior,Precedente,Précédent,Vorheriges,Предыдущий,上一个,이전,前
#KINGDOM#,Kingdom,Reino,Regne,Reino,Regno,Règne,Reich,Царство,王国,계,王国
#FAMILY#,Family,Familia,Família,Família,Famiglia,Famille,Familie,Семья,家族,과,家族
#PHYLUM#,Phylum,Filo,Fílum,Gume,Phylum,Embranchement,Stamm,Филюм,门,문 ,門
#CLASS#,Class,Clase,Classe,Classe,Classe,Classe,Klasse,Класс,纲,강,クラス
#ORDER#,Order,Orden,Ordre,Ordem,Ordine,Ordre,Ordnung,Порядок,目,목,命令
#GENUS#,Genus,Género,Gènere,Género,Genere,Genre,Gattung,Пол,属,속,種類
#SPECIE#,Specie,Especie,Espècie,Espécie,Specie,Espèce,Spezies,Вид,种,종,種
#OBJECTIVE_TO_FIND#,This is the objective you have to find,Este es el objectivo que tienes que encontrar,Aquest és l'objectiu que has de trobar,Este é o objetivo que tens que encontrar,Ecco il prossimo obiettivo che devi trovare,C’est l’objectif que tu dois atteindre,"Das ist das Ziel, das Sie finden müssen","Это цель, которую вы должны найти",这是你必须寻找的物件,이 목표물을 찾아야 합니다.,これを見つけなければなりません
#PLACE_AQUARIUM#,Touch the screen to place your aquarium,Toca la pantalla para situar el acuario,Toca la pantalla per situar l'aquari,Toca no ecrã para colocares o aquário,Tocca lo schermo per localizzare l’acquario,Touche l’écran pour placer l’aquarium,"Berühren Sie den Bildschirm, um das Aquarium zu platzieren","Коснитесь экрана, чтобы разместить аквариум",触碰屏幕以放置场景,수족관을 배치하려면 화면을 터치하세요. ,水族館を移動させるため、画面をタッチしてください
#TOUCH_TO_CLOSE#,Touch the screen to continue...,Toca la pantalla para continuar...,Toca la pantalla per continuar...,Toca no ecrã para continuares...,Tocca lo schermo per continuare,Touche l’écran pour continuer...,"Um weiter fortzufahren, berühren Sie bitte den Bildschirm…","Коснитесь экрана, чтобы продолжить…",触碰屏幕以继续...,계속하려면 화면을 터치하세요...,画面をタッチし、続けます...
#SCANNING_SURFACES#,Scanning surfaces,Escaneando superficies,Escanejant superfícies,A digitalizar superfícies,Scansione superfici in corso…,Surfaces en cours de scannage,Oberflächen scannnen,Сканирование поверхности,扫描平面中,표면 스캔 ,表面をスキャン中
#WARNING_SURFACES1#,Unable to detect a suitable surface.,No es posible detectar una superficie adecuada.,Prova amb una superfície més contrastada.,Não é possível detetar uma superfície adequada.,Non è possibile rilevare una superficie adeguata.,Impossible de détecter une surface appropriée.,Es kann keine passende Oberfläche gefunden werden.,Невозможно обнаружить подходящую поверхность,检测不到合适的平面,적당한 표면을 찾는 것이 불가능합니다. ,適切な表面を検出できません。
#WARNING_SURFACES2#,"Please, try with a more contrasted surface.","Por favor, inténtalo con una superficie más contrastada.","Si us plau, prova amb una superfície més contrastada.","Por favor, tenta com uma superfície mais contrastada",Riprova con una superficie con maggiore contrasto,Essais avec une surface présentant plus de contrastes,Bitte versuchen Sie es mit einer kontrastreicheren Oberfläche,Попробуйте с более контрастной поверхностью,请尝试使用对比较大的平面,좀 더 대비가 선명한 표면을 찾아 다시 시도해 보세요.,より対照的な表面でもう一度やり直してください
#OBJECTIVE_WRONG#,Wrong objective.,Objetivo incorrecto.,Objectiu incorrecte.,Objetivo incorreto.,Obiettivo errato.,Cible incorrect.,Falsches Ziel.,Неправильная цель,错误的物件,잘못된 목표,目標物とは異なります
#TRY_HARDER#,Keep trying!,Continua intentándolo!,Continua intentant!,Continua a tentar!,Prova ancora!,Continue à essayer!,Versuchen Sie es weiter!,Продолжайте пытаться!,继续尝试！,계속 시도하세요!,何度もやり直してください!
#FIND_THIS#,Find this objective!,¡Encuentra el objectivo!,Troba l'objectiu!,Encontra o objetivo!,Trova l’obiettivo!,Trouve la cible!,Finden Sie das Ziel!,Найдите цель!,寻找物件！,목표를 찾아내세요!,目標を見つけてください!
#SEXSTAGE#,Sex/Stage/Variation,Sexo/Etapa/Variación,Sexe/Etapa/Variació,Sexo/Etapa/Variação,Sesso/Stadio/Variazione,Sexe/Étape/Variation,Geschlecht/Etappe/Variation,Пол/Этап/ Изменение,性别/阶段/变异,성별/단계/변종 ,性別/段階/バリエーション
#MENU#,Back to menu,Menu Principal,Menú principal,Menu Principal,Menu principale,Menu principal,Hauptmenü,Главное меню,主菜单,메인 메뉴 ,メインメニュー
#SETTINGS#,Settings,Opciones,Opcions,Opções,Opzioni,Options,Optionen,Опции,选项,설정,設定
#MUSIC#,Music,Música,Música,Música,Musica,Musique,Musik,Музыка,音乐,음악,音楽
#EFFECTS#,Effects,Efectos,Efectes,Efeitos,Effetti,Effets,Effekte,Эффекты ,特效,효과,効果
#SHADOWS#,Advanced Shadows,Sombras avanzadas,Ombres millorades,Sombras avançadas,Ombreggiatura avanzata,Ombres avancées,Fortgeschrittenere Schatten,Расширенные тени,进阶阴影,상급 그림자 ,影詳細
#LIGHTING#,Advanced Lighting,Iluminación avanazada,Il·luminació millorada,Iluminação avançada,Illuminazione avanzata,Éclairage avancé,Fortgeschrittenere Beleuchtung,Расширенное освещение,进阶照明,상급 조명 ,光詳細
#IPHONE8#,(Recommended for iPhone 8 onwards only),(Recomendado sólo para iPone8 y superior),(Recomanat només per a iPone8 o superior),(Recomendado apenas para iPone8 e superior),(Raccomandato solo per iPone8 e superiori),(Recommandé uniquement pour iPone8 et supérieur),(Empfohlen nur für iPone8 und höher),(Рекомендуется только для iPone8 и выше),(建议仅使用iPone8或更新机种),아이폰8 혹은 그 이상의 기종에서만 사용 권장 ,(iPone8以上のデバイスにおすすめです)
#LANGUAGE#,Language,Idioma,Llengua,Idioma,Lingua,Langue,Sprache,Язык,语言,언어 ,言語
#DIFFICULTY#,Difficulty,Dificultad,Dificultat,Dificuldade,Difficoltà,Difficulté,Schwierigkeit,Сложность,难易度,난이도,難易度
#VERYEASY#,Very Easy,Muy Fácil,Molt Fàcil,Muito Fácil,Molto facile,Très facile,Sehr leicht,Очень легко,非常容易,아주 쉬움 ,とても簡単
#EASY#,Easy,Fácil,Fàcil,Fácil,Facile,Facile,Leicht,Легко,容易,쉬움,簡単
#NORMAL#,Normal,Normal,Normal,Normal,Normale,Normal,Normal,Нормально,一般,보통,普通
#COLLECTIONS#,Collection,Collección,Col·lecció,Coleção,Collezioni,Collection,Sammlung,Коллекция,收集,컬렉션,コレクション
#ALL#,All,Todas,Totes,Todas,Tutte,Toutes,Alle,Все,所有,모두,全て
#MINE#,Unlocked,Desbloqueadas,Desbloquejades,Desbloqueadas,Sbloccate,Débloquées,Entsperrte,Разблокированный,已破解,해제,ブロック解除済
#MISSING#,Locked,Bloqueadas,Bloquejades,Bloqueadas,Bloccate,Bloquées,Gesperrte,Заблокированный,已封锁,차단,ブロックされています
#ORDER_BY#,Order by,Ordenado por,Ordenat per,Ordenado por,Ordinate per,Ordonné par,Sortieren nach,Отсортировано по,由排列,정렬순서,順序
#SCIENTIFIC_NAME#,Scientific name,Nombre científico,Nom científic,Nome científico,Nome scientifico,Nom scientifique,Wissenschaftlichem Namen,Научное название,科学家名字,학명,学名
#SIZE#,Size,Tamaño,Mida,Tamanho,Dimensioni,Taille,Größe,Размер,尺寸,크기,大きさ
#COMMON_NAME#,Common name,Nombre común,Nom comú,Nome comum,Nome comune,Nom commun,Allgemeine Bezeichnung,Общее имя,通用名称,속칭 ,一般名
#NEW_AQUARIUM#,You’ve unlocked a new aquarium!,Has desbloqueado un nuevo acuario!,Has desbloquejat un nou aquari!,Desbloqueaste um novo aquário!,Hai sbloccato un nuovo acquario!,Tu as débloqué un nouvel aquarium!,Sie haben ein neues Aquarium entsperrt!,Вы разблокировали новый аквариум!,你已经破解了一个新的水族馆！,새 아쿠아리움을 획득했습니다.,新しい水族館のブロックが解除されました!
#RESET_GAME#,Reset game,Borrar progreso,Esborrar progrés,Eliminar progresso,Cancella progressi,Effacer la progression,Fortschritt löschen,Сбросная игра,删除进度,게임 재설정 ,リセットする
#RESET_WARNING#,Are you sure you want to delete all your progress?,Estás seguro que quieres borrar todo el progreso?,Estàs segur que vols esborrar tot el progrés?,Tens a certeza de que queres eliminar todo o progresso?,Sei sicuro di voler cancellare tutti i progressi?,Es-tu sûr de vouloir effacer toute la progression?,"Sind Sie sicher, dass Sie den gesamten Fortschritt löschen wollen?",Сброс предупреждение?,你确定要删除整个进度吗？,진행상황을 모두 삭제하고 게임을 재설정하시겠습니까? ,全てをリセットしてよろしいですか?
#GOTO_AQUARIUM#,New aquarium,Nuevo acuario,Nou aquari,Novo aquário,Nuovo acquario,Nouvel aquarium,Neues Aquarium,Новый аквариум,新的水族馆,새 수족관 ,新しい水族館
#ALL_OBJECTIVES#,You've unlocked all the objectives of this aquarium,Has desbloqueado todos los objetivos de este aquario,Has desbloquejat tots els objectius d'aquest aquari,Desbloqueaste todos os objetivos deste aquário,Hai sbloccato tutti gli obiettivi di questo acquario,Tu as débloqué toutes les cibles de cet aquarium,Sie haben alle Ziele dieses Aquariums entsperrt,Вы разблокировали все цели в этом аквариуме ,你已经破解了这个水族馆中的所有目的,이 아쿠아리움의 모든 목표물을 해제했습니다. ,この水族館の全ての目標のブロックが解除されました
#ALL_UNLOCKED#,You've unlocked all the objectives,Has desbloqueado todos los objetivos,Has desbloquejat tots els objectius,Desbloqueaste todos os objetivos,Hai sbloccato tutti gli obiettivi,Tu as débloqué toutes les cibles,Sie haben alle Ziele entsperrt,Всё разблокировано,你已经破解了所有目的,모든 목표물을 해제했습니다. ,全ての目標のブロックが解除されました
#COMING_SOON#,New objectives coming soon!,Nuevos objectivos próximamente!,Nous objectius molt aviat!,Novos objetivos em breve!,Nuovi obiettivi a breve!,Nouvelles cibles prochainement!,Neue Ziele demnächst!,Новые цели скоро!,即将推出新目的！,곧 새로운 목표물들이 출시됩니다!,近日中に新しい目標が発表されます!
#TOO_FAR#,Too far!,Demasiado lejos!,Massa lluny!,Demasiado longe!,Troppo lontano!,Trop loin!,Zu weit!,Слишком далеко!,太远了！,너무 멀어요!,遠すぎる!
#MOVE_FORWARD#,Move forward,Camina hacia adelante,Camina cap endevant,Caminha para a frente,Cammina in avanti,Avance,Laufe geradeaus,Идите вперёд,往前走,앞으로 걸어요.,前に向かって歩いてください
#DEPTH#,Depth,Profundidad,Profunditat,Profundidade,Profondità,Profondeur,Tiefe,Глубина,深度,깊이,深さ
#RELOCATE_AQUARIUM#,Relocate aquarium,Reubica el acuario,Reubica l'aquari,Recoloca o aquário,Riposiziona l’acquario,Change l’aquarium de place,Versetze das Aquarium,Переставьте аквариум,重新摆放水族馆,아쿠아리움을 재배치하세요.,水族館をもう一度置いてください
#SHOW_INIT_HELP#,Show help at start,Mostrar ayuda al inicio,Mostra l'ajuda a l'inici.,Mostrar ajuda no início,Mostra aiuto all’inizio,Affiche l’aide au début,Hilfe beim Start zeigen,Показать помощь при запуске,于首页显示帮助,시작에서 도움 표시하기,最初にヘルプを表示する
#SHOW_HELP#,Hint,Ayuda,Ajuda,Ajuda,Aiutare,Aider,Helfen,помощь,幫助,도움,ヘルプ
#COMING_SOON_AQ#,Coming soon...,Próximamente...,Aviat...,Em breve...,Prossimamente...,À venir ...,Demnächst...,Скоро...,即將推出,곧 나옵니다,近日発売予定